topicId,words..
0,economic community development small financial business businesses education income work
1,financial market markets banks crisis liquidity credit system securities institutions
2,inflation monetary central bank term interest fomc economic stability expectations
3,risk capital banks basel regulatory management market supervisors ii banking
4,credit mortgage loans lending housing loan home borrowers market consumer
5,countries economies international trade domestic exchange global foreign capital world
6,banks financial banking bank risk management business institutions activities organizations
7,prices monetary price real pp economic output asset model policymakers
8,system technology payments services market information systems innovation century technologies
9,growth prices productivity economic economy year demand recent labor spending
